You have loaded an FP4 model on CPU and have a CUDA/XPU device available, make sure to set your model on a GPU/XPU device in order to run your model. To remove this warning, pass device_map = 'cuda' or device_map = 'xpu'. 

Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s]
Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 13849.28it/s]

Loading checkpoint shards:   0%|          | 0/3 [00:00<?, ?it/s]

Fetching 41 files:   0%|          | 0/41 [00:00<?, ?it/s][A
Fetching 41 files: 100%|██████████| 41/41 [00:00<00:00, 19508.39it/s]

Loading checkpoint shards:  33%|███▎      | 1/3 [00:00<00:01,  1.29it/s]
Loading checkpoint shards:  67%|██████▋   | 2/3 [00:01<00:00,  1.62it/s]
Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.33it/s]
Loading checkpoint shards: 100%|██████████| 3/3 [00:01<00:00,  2.01it/s]
2026-07-01 19:11:34,483 sample_targets sampled 8 / 10000
2026-07-01 19:11:37,537 sample_targets sampled 16 / 10000
2026-07-01 19:11:40,447 sample_targets sampled 24 / 10000
2026-07-01 19:11:43,376 sample_targets sampled 32 / 10000
2026-07-01 19:11:46,315 sample_targets sampled 40 / 10000
2026-07-01 19:11:49,238 sample_targets sampled 48 / 10000
2026-07-01 19:11:52,163 sample_targets sampled 56 / 10000
2026-07-01 19:11:55,096 sample_targets sampled 64 / 10000
2026-07-01 19:11:58,026 sample_targets sampled 72 / 10000
2026-07-01 19:12:00,954 sample_targets sampled 80 / 10000
2026-07-01 19:12:03,890 sample_targets sampled 88 / 10000
2026-07-01 19:12:06,826 sample_targets sampled 96 / 10000
2026-07-01 19:12:09,764 sample_targets sampled 104 / 10000
2026-07-01 19:12:12,698 sample_targets sampled 112 / 10000
2026-07-01 19:12:15,632 sample_targets sampled 120 / 10000
2026-07-01 19:12:18,571 sample_targets sampled 128 / 10000
2026-07-01 19:12:21,509 sample_targets sampled 136 / 10000
2026-07-01 19:12:24,583 sample_targets sampled 144 / 10000
2026-07-01 19:12:27,504 sample_targets sampled 152 / 10000
2026-07-01 19:12:30,422 sample_targets sampled 160 / 10000
2026-07-01 19:12:33,341 sample_targets sampled 168 / 10000
2026-07-01 19:12:36,257 sample_targets sampled 176 / 10000
2026-07-01 19:12:39,175 sample_targets sampled 184 / 10000
2026-07-01 19:12:42,096 sample_targets sampled 192 / 10000
2026-07-01 19:12:45,020 sample_targets sampled 200 / 10000
2026-07-01 19:12:47,946 sample_targets sampled 208 / 10000
2026-07-01 19:12:50,873 sample_targets sampled 216 / 10000
2026-07-01 19:12:53,804 sample_targets sampled 224 / 10000
2026-07-01 19:12:56,728 sample_targets sampled 232 / 10000
2026-07-01 19:12:59,651 sample_targets sampled 240 / 10000
2026-07-01 19:13:02,580 sample_targets sampled 248 / 10000
2026-07-01 19:13:05,508 sample_targets sampled 256 / 10000
2026-07-01 19:13:08,591 sample_targets sampled 264 / 10000
2026-07-01 19:13:11,509 sample_targets sampled 272 / 10000
2026-07-01 19:13:14,421 sample_targets sampled 280 / 10000
2026-07-01 19:13:17,343 sample_targets sampled 288 / 10000
2026-07-01 19:13:20,272 sample_targets sampled 296 / 10000
2026-07-01 19:13:23,206 sample_targets sampled 304 / 10000
2026-07-01 19:13:26,136 sample_targets sampled 312 / 10000
2026-07-01 19:13:29,066 sample_targets sampled 320 / 10000
2026-07-01 19:13:31,996 sample_targets sampled 328 / 10000
2026-07-01 19:13:34,930 sample_targets sampled 336 / 10000
2026-07-01 19:13:37,859 sample_targets sampled 344 / 10000
2026-07-01 19:13:40,788 sample_targets sampled 352 / 10000
2026-07-01 19:13:43,721 sample_targets sampled 360 / 10000
2026-07-01 19:13:46,654 sample_targets sampled 368 / 10000
2026-07-01 19:13:49,591 sample_targets sampled 376 / 10000
2026-07-01 19:13:52,525 sample_targets sampled 384 / 10000
2026-07-01 19:13:55,613 sample_targets sampled 392 / 10000
2026-07-01 19:13:58,535 sample_targets sampled 400 / 10000
2026-07-01 19:14:01,458 sample_targets sampled 408 / 10000
2026-07-01 19:14:04,399 sample_targets sampled 416 / 10000
2026-07-01 19:14:07,351 sample_targets sampled 424 / 10000
2026-07-01 19:14:10,283 sample_targets sampled 432 / 10000
2026-07-01 19:14:13,239 sample_targets sampled 440 / 10000
2026-07-01 19:14:16,200 sample_targets sampled 448 / 10000
2026-07-01 19:14:19,131 sample_targets sampled 456 / 10000
